"video_id","event_id","source_file_name","width_px","height_px"
"v01","v01_E001","v01_event_001_best.jpg","854","480"
"v02","v02_E001","v02_event_001_best.jpg","480","852"
"v03","v03_E001","v03_event_001_best.jpg","480","632"
"v04","v04_E001","v04_event_001_best.jpg","854","480"
"v05","v05_E001","v05_event_001_best.jpg","480","596"
"v06","v06_E001","v06_event_001_best.jpg","1080","1080"
"v07","v07_E001","v07_event_001_best.jpg","854","480"
"v08","v08_E001","v08_event_001_best.jpg","480","804"
"v09","v09_E001","v09_event_001_best.jpg","480","852"
"v10","v10_E001","v10_event_001_best.jpg","1068","1080"
